category,goods_name,jpPrice,jporgPrice,referencePrice
藥品,Salonpas撒隆巴斯消炎镇痛关节腰肩颈椎痛贴镇痛药膏贴80片装,698JPY,900JPY,(約35.67CNY)
藥品,MUHI 池田模範堂無比滴 蚊蟲止癢液 50ML,734JPY,880JPY,(約37.51CNY)
藥品,NICHIBAN米琪邦老人头穴位膏药贴关节腰椎风湿疼痛温感肩颈贴156片装,880JPY,880JPY,(約44.97CNY)
藥品,龙角散免水润颗粒滋润护嗓清喉直爽糖果粉末【薄荷味】16包/盒,745JPY,798JPY,(約38.07CNY)
藥品,SANTEN參天FX NEO銀色款滴眼液 緩解眼睛疲勞眼藥水12ml,857JPY,980JPY,(約43.79CNY)
藥品,強效若元胃腸錠 1000錠,"2,901JPY","2,901JPY",(約148.24CNY)
藥品,NICHIBAN米琪邦老人头穴位膏药贴关节腰椎风湿疼痛温感肩颈贴78片装,"1,080JPY","1,080JPY",(約55.19CNY)
藥品,龙角散免水润颗粒滋润护嗓清喉直爽糖果粉末【水蜜桃味】16包/盒,745JPY,798JPY,(約38.07CNY)
藥品,Salonpas撒隆巴斯缓解肌肉酸痛关节颈肩贴140片装,"1,630JPY","1,630JPY",(約83.29CNY)
藥品,.日本 KOWA兴和 NEW UNA KOWA COOL 蚊虫叮咬止痒液 55ml,793JPY,793JPY,(約40.52CNY)
藥品,SANTEN参天FX V+抗疲劳缓解干涩滴眼液眼药水金色款12ml,854JPY,980JPY,(約43.64CNY)
藥品,【数量限定，超值套装】Salonpas撒隆巴斯消炎镇痛关节腰肩颈椎痛贴镇痛药膏贴80片装 2个套装,"1,200JPY","1,200JPY",(約61.32CNY)
藥品,狮王Lion PAIR ACNE 成人祛痘膏 24g,"1,200JPY","1,200JPY",(約61.32CNY)
藥品,小林製藥液體防水絆創膏 OK繃 傷口保護膜 護理創口貼 10g,768JPY,848JPY,(約39.24CNY)
藥品,新表飛鳴S 健胃整腸錠 540錠,"3,113JPY","3,480JPY",(約159.07CNY)
藥品,MUHI池田模范堂无比滴BABY婴儿儿童蚊虫叮咬止痒舒缓液防蚊液驱蚊水40ml,854JPY,980JPY,(約43.64CNY)
藥品,龙角散草本清喉直爽含片润嗓利咽缓咳舒爽咽喉含片【芒果味】20片,745JPY,745JPY,(約38.07CNY)
藥品,MUHI池田模范堂无比滴面包超人宝宝蚊虫叮咬驱蚊止痒贴76片装,759JPY,880JPY,(約38.78CNY)
藥品,SHISEIDO资生堂Moilip唇炎修复药用保湿滋润唇部护理润唇膏8g,"1,100JPY","1,200JPY",(約56.21CNY)
藥品,ROHTO乐敦Lycee小粉花缓解干涩疲劳隐形眼镜美瞳眼药水滴眼液8ml,796JPY,796JPY,(約40.68CNY)
藥品,大正 口腔贴A 10枚入,880JPY,880JPY,(約44.97CNY)
藥品,参天制药SantePC缓解眼疲劳防近视滴眼液防蓝光眼药水12ml,918JPY,918JPY,(約46.91CNY)
藥品,ROHTO乐敦Lycee小粉花缓解眼疲劳干痒酸胀红血丝隐形眼镜美瞳眼药水滴眼液8ml,796JPY,796JPY,(約40.68CNY)
藥品,参天制药Beauteye玫瑰眼药水缓解眼疲劳去红血丝滴眼液12ml,"1,836JPY","1,836JPY",(約93.82CNY)
藥品,WAKAMOTO 若元胃腸藥 顆粒型 24包,"1,029JPY","1,029JPY",(約52.58CNY)
