category,goods_name,jpPrice,jporgPrice,referencePrice
衛生保健,PITTA 口罩 灰色,398JPY,550JPY,(約20.34CNY)
衛生保健,unicharm 嬌聯 超快適口罩 百褶款 標準尺寸 7片裝,388JPY,388JPY,(約19.83CNY)
衛生保健,Sagami original 相模 幸福0.01毫米 安全套 避孕套 5个装/盒,"1,200JPY","1,200JPY",(約61.32CNY)
衛生保健,PITTA 口罩 深藍色 (3個裝),550JPY,550JPY,(約28.11CNY)
衛生保健,PITTA MASK KIDS SWEET 孩童口罩 (不同色3個),550JPY,598JPY,(約28.11CNY)
衛生保健,尤妮佳 超快適口罩 呼吸舒暢型 小尺寸 5枚入,438JPY,498JPY,(約22.38CNY)
衛生保健,Unicharm 嬌聯 超快適口罩 百褶款 小尺寸 7片裝,388JPY,388JPY,(約19.83CNY)
衛生保健,花王美舒律 潤澤蒸氣口罩 薰衣草香氛 普通尺寸 [3枚入],548JPY,548JPY,(約28CNY)
衛生保健,超立體口罩 普通,438JPY,438JPY,(約22.38CNY)
衛生保健,小林製薬 就寢用保濕口罩 無香精,438JPY,438JPY,(約22.38CNY)
衛生保健,PITTA 口罩(PITTA MASK) 小款 3色,550JPY,570JPY,(約28.11CNY)
衛生保健,小林製藥 保濕口罩 就寢用 柚子 & 花梨香 3組,438JPY,438JPY,(約22.38CNY)
衛生保健,三次元口罩 女性用尺寸 7枚入,398JPY,398JPY,(約20.34CNY)
衛生保健,超立體口罩 大款,438JPY,438JPY,(約22.38CNY)
衛生保健,Sofy 超熟睡防護 衛生棉 量特多夜用 蝶翼款 42cm (10片),628JPY,628JPY,(約32.09CNY)
衛生保健,Sofy Hadaomoi 衛生棉 極薄 量多～一般日用 蝶翼款 21cm (24片),560JPY,560JPY,(約28.62CNY)
衛生保健,岡本0.01mm超薄保險套 3入,"1,200JPY","1,200JPY",(約61.32CNY)
衛生保健,KOWA 三次元高密著口罩 小款女性尺寸,398JPY,458JPY,(約20.34CNY)
衛生保健,PITTA 口罩 孩童 (3個 x 3色),550JPY,570JPY,(約28.11CNY)
衛生保健,小臉效果口罩 小款,438JPY,438JPY,(約22.38CNY)
衛生保健,花王美舒律 潤澤蒸氣口罩 蜂蜜檸檬 3個,548JPY,548JPY,(約28CNY)
衛生保健,Unicharm尤妮佳 超快适口罩 白色 大码 7个,398JPY,398JPY,(約20.34CNY)
衛生保健,Sofy 超熟睡防護 衛生棉 量特多夜用 蝶翼款 40cm (10片),628JPY,628JPY,(約32.09CNY)
衛生保健,PITTA 口罩(PITTA MASK) 普通款 粉色系,550JPY,570JPY,(約28.11CNY)
衛生保健,岡本 避孕套 0.03 玻尿酸 10個裝,"1,100JPY","1,100JPY",(約56.21CNY)
