category,goods_name,jpPrice,jporgPrice,referencePrice
電器,Minimum 兒童電動牙刷 HAPICA 替換頭,438JPY,438JPY,(約22.38CNY)
電器,Panasonic 毛孔吸淨器 粉色,"3,280JPY","3,280JPY",(約167.61CNY)
電器,Minimum日本进口软毛护龈儿童声波电动牙刷【米奇】,"1,080JPY","1,080JPY",(約55.19CNY)
電器,Panasonic 攜帶型電動刮鬍刀 單刀頭 銀色,"2,950JPY","2,950JPY",(約150.75CNY)
電器,Minimum 兒童電動牙刷 HAPICA 玩具總動員　DBK-5D（DY）,"1,080JPY","1,080JPY",(約55.19CNY)
電器,Belulu美露露 Hot beaute 電熱睫毛棒 (黑色),"2,480JPY","2,760JPY",(約126.73CNY)
電器,Minimum 嬰兒電動牙刷 HAPICA 替換頭,438JPY,438JPY,(約22.38CNY)
電器,Minimum 兒童電動牙刷 HAPICA 米妮 (粉),"1,080JPY","1,080JPY",(約55.19CNY)
電器,Minimum 兒童電動牙刷 HAPICA 愛麗兒,"1,080JPY","1,080JPY",(約55.19CNY)
電器,Minimum 兒童電動牙刷 HAPICA 小熊維尼 DBK-5Y（DY）,"1,080JPY","1,080JPY",(約55.19CNY)
電器,Panasonic 携带型电动刮胡刀 单刀头 蓝色 型号: ES-RS10-A,"2,728JPY","2,728JPY",(約139.4CNY)
電器,Panasonic 攜帶型電動刮鬍刀 單刀頭 紅色,"2,950JPY","2,950JPY",(約150.75CNY)
電器,Minimum 兒童電動牙刷 HAPICA 米奇,"1,080JPY","1,080JPY",(約55.19CNY)
電器,Minimum 兒童電動牙刷 HAPICA　精靈,"1,080JPY","1,080JPY",(約55.19CNY)
電器,Minimum 兒童電動牙刷 HAPICA 唐老鴨,"1,080JPY","1,080JPY",(約55.19CNY)
電器,Minimum 嬰兒電動牙刷 HAPICA (黃色),880JPY,880JPY,(約44.97CNY)
電器,Belulu美露露 洗姫TUBOMI 附支架潔面刷 (粉色),"2,000JPY","2,000JPY",(約102.2CNY)
電器,Beautiful Angel Belulu美露露 Rebirth EMS微電流射頻美容儀(粉色) KRD1033N-PK 新款,"19,800JPY","19,800JPY","(約1,011.78CNY)"
電器,Beautiful Angel Belulu美露露 Hot beaute 電熱睫毛棒 (白色) KRDLASHDRIER/WT,"2,980JPY","2,980JPY",(約152.28CNY)
電器,Belulu美露露 Triple Rich Booster 美顏器 (粉色),"2,980JPY","2,980JPY",(約152.28CNY)
電器,Belulu美露露 洗姫FURURU 震動洗臉刷 (粉色),"5,900JPY","5,900JPY",(約301.49CNY)
電器,Belulu美露露 AquaRufa Classic 超音波潔面儀 (粉色),"8,130JPY","8,130JPY",(約415.44CNY)
電器,ESTHETIC VIBRATION 震動按摩美體棒 粉色,"4,180JPY","4,180JPY",(約213.6CNY)
電器,Beautiful Angel Belulu美露露 柔軟電熱眼罩(激萌兔) KRD9007-R,"2,280JPY","2,280JPY",(約116.51CNY)
電器,KOIZUMI 音波磁氣美髮梳 亮粉色 KBE-2901-VP,"3,280JPY","3,280JPY",(約167.61CNY)
電器,Minimum 兒童電動牙刷 HAPICA 米妮 (粉),"1,080JPY","1,080JPY",(約55.19CNY)
電器,Hasepro 海賊王01 蘋果充電線飾品 路飛 533305,748JPY,748JPY,(約38.22CNY)
電器,ESTHETIC VIBRATION 震動按摩美體棒 白色,"4,180JPY","4,180JPY",(約213.6CNY)
電器,Beautiful Angel Belulu美露露 柔軟電熱眼罩(可愛貓) KRD9007-C,"2,280JPY","2,280JPY",(約116.51CNY)
電器,belulu Hot Mask 發熱眼罩 (黑色小惡魔),"2,280JPY","2,280JPY",(約116.51CNY)
電器,Belulu美露露 brilliant hair 多功能美髮梳 (金色),"34,800JPY","34,800JPY","(約1,778.28CNY)"
電器,Petitor 磨甲機 S (銀色),"17,980JPY","17,980JPY",(約918.78CNY)
電器,LUNA mini2 迷你淨透潔面儀 珍珠粉色,"17,800JPY","18,000JPY",(約909.58CNY)
電器,Belulu美露露 CaviUp 瘦身美體美膚儀 (白色),"29,700JPY","29,700JPY","(約1,517.67CNY)"
電器,Belulu美露露 Platinam Mini 迷你微電流滾輪美體棒,"3,980JPY","3,980JPY",(約203.38CNY)
電器,KOIZUMI 音波磁氣美髮梳 綠色 KBE-2901-G,"3,280JPY","3,280JPY",(約167.61CNY)
電器,Beautiful Angel Belulu美露露 Classy 超音波導入美容臉部按摩儀(白色) KRD1007N-WT 新款,"13,200JPY","13,200JPY",(約674.52CNY)
電器,Beautiful Angel Belulu美露露 Classy 超音波導入美容臉部按摩儀(粉色) KRD1007N-PK 新款,"13,200JPY","13,200JPY",(約674.52CNY)
電器,Beautiful Angel Belulu美露露 Classy 超音波導入美容臉部按摩儀(金色) KRD1007N-GD 新款,"13,200JPY","13,200JPY",(約674.52CNY)
電器,belulu Classy Black (for men) 男士用美容儀 新商品,"13,200JPY","13,200JPY",(約674.52CNY)
電器,Beautiful Angel Belulu美露露 Rebirth EMS微電流射頻美容儀(白色) KRD1033N-WT 新款,"19,800JPY","19,800JPY","(約1,011.78CNY)"
電器,Beautiful Angel Belulu美露露 Rebirth EMS微電流射頻美容儀(金色) KRD1033N-GD 新款,"19,800JPY","19,800JPY","(約1,011.78CNY)"
電器,Beautiful Angel Belulu美露露 AquaRufa 超音波潔面儀(白色) KRD1027N-WT 新款,"9,800JPY","9,800JPY",(約500.78CNY)
電器,Beautiful Angel Belulu美露露 AquaRufa 超音波潔面儀(粉色) KRD1027N-PK 新款,"9,800JPY","9,800JPY",(約500.78CNY)
電器,Beautiful Angel Belulu美露露 Quick & Easy StraightBrush 電熱直發梳 KRD9009,"3,850JPY","3,850JPY",(約196.73CNY)
電器,belulu Hot Mask 發熱眼罩 (紅色小惡魔),"2,280JPY","2,280JPY",(約116.51CNY)
電器,Beautiful Angel Belulu美露露 蒸氣溫熱面膜(全臉用) KRD9010,330JPY,330JPY,(約16.86CNY)
電器,Beautiful Angel Belulu美露露 蒸氣溫熱面膜(眼部用) KRD9011,110JPY,110JPY,(約5.62CNY)
電器,belulu Relax-be 頸部按摩儀,"11,980JPY","11,980JPY",(約612.18CNY)
電器,belulu illumiss 環形LED打光燈,"5,000JPY","5,000JPY",(約255.5CNY)
電器,belulu Smart Eyes 眼部按摩儀,"14,800JPY","14,800JPY",(約756.28CNY)
電器,Belulu美露露 brilliant hair 多功能美髮梳 (白色),"34,800JPY","34,800JPY","(約1,778.28CNY)"
電器,belulu brilliant forMen 男士用頭皮護理儀,"34,800JPY","34,800JPY","(約1,778.28CNY)"
電器,Beautiful Angel Belulu美露露 CaviStyle 瘦身美體儀 (白色) KRD-1030/WT,"19,800JPY","19,800JPY","(約1,011.78CNY)"
電器,Belulu美露露 CaviStyle 瘦身美體儀 (粉色),"19,800JPY","19,800JPY","(約1,011.78CNY)"
電器,Belulu美露露 CaviUp 瘦身美體美膚儀 (粉色),"29,740JPY","29,740JPY","(約1,519.71CNY)"
電器,Belulu美露露 CaviStyle 瘦身美體儀 (香檳色),"19,800JPY","19,800JPY","(約1,011.78CNY)"
電器,belulu Hikari plus 光嫩膚大排燈 美容儀,"49,800JPY","49,800JPY","(約2,544.78CNY)"
電器,Belulu美露露 Hikari mini 迷你彩光嫩膚儀,"14,980JPY","14,980JPY",(約765.48CNY)
電器,Belulu美露露 CASSAism 臉部刮痧美容板 (白色),"9,065JPY","9,065JPY",(約463.22CNY)
電器,Belulu美露露 MoisMist 奈米噴霧補水儀 (玫瑰金色),"4,980JPY","4,980JPY",(約254.48CNY)
電器,belulu LED MAKEUP MIRROR ACTRESS LED三面化妝鏡,"3,030JPY","3,030JPY",(約154.83CNY)
電器,Belulu美露露 Triple Rich Booster 美顏器 (白色),"2,980JPY","2,980JPY",(約152.28CNY)
電器,Petitor 磨甲機 L (粉色),"9,670JPY","9,670JPY",(約494.14CNY)
電器,Petitor 磨甲機 L (銀色),"9,670JPY","9,670JPY",(約494.14CNY)
電器,Petitor 磨甲機 L (黑色),"9,670JPY","9,670JPY",(約494.14CNY)
電器,Petitor 磨甲機 M (粉色),"8,680JPY","8,680JPY",(約443.55CNY)
電器,Petitor 磨甲機 M (銀色),"8,680JPY","8,680JPY",(約443.55CNY)
電器,Petitor 磨甲機 M (黑色),"8,680JPY","8,680JPY",(約443.55CNY)
電器,Petitor 磨甲機 S (粉色),"17,980JPY","17,980JPY",(約918.78CNY)
電器,Petitor 磨甲機 S (黑色),"17,980JPY","17,980JPY",(約918.78CNY)
電器,Beautiful Angel PetitorC Refine 美甲打磨機(自然白) KRD2004R-WT,"4,450JPY","4,450JPY",(約227.4CNY)
電器,Beautiful Angel PetitorC Refine 美甲打磨機(柔嫩粉) KRD2004R-BPK,"4,450JPY","4,450JPY",(約227.4CNY)
電器,Beautiful Angel PetitorC Refine 美甲打磨機(櫻桃粉) KRD2004R-CPK,"4,450JPY","4,450JPY",(約227.4CNY)
電器,Beautiful Angel PetitorN Natura 美甲打磨機 KRD2009,"6,090JPY","6,090JPY",(約311.2CNY)
電器,Laviiin TripleRoller 多功能滾輪電動按摩器 粉色,"2,880JPY","3,480JPY",(約147.17CNY)
