category,goods_name,jpPrice,jporgPrice,referencePrice
食品,野村煎豆 日式薄脆小圓餅乾 130g,184JPY,184JPY,(約9.4CNY)
食品,Calbee 卡樂比 Jagarico 黃油味,191JPY,191JPY,(約9.76CNY)
食品,一蘭拉麵　附一蘭特製赤紅祕製辣粉【１餐份】,437JPY,437JPY,(約22.33CNY)
食品,Calbee 卡樂比 Jagarico 長頸鹿薯條杯 沙拉口味 57g,191JPY,191JPY,(約9.76CNY)
食品,Calbee卡乐比日本进口土豆棒休闲零食膨化小吃【芝士味】55g(保质期至2022-06-29),191JPY,191JPY,(約9.76CNY)
食品,日東紅茶 皇家奶茶,301JPY,398JPY,(約15.38CNY)
食品,一蘭拉麵　博多細麵直條麵 附一蘭特製赤紅祕製辣粉【5餐份】,"2,470JPY","2,470JPY",(約126.22CNY)
食品,龍角散 潤喉糖 白桃 80g,461JPY,461JPY,(約23.56CNY)
食品,日清 cup noodle 經典海鮮味 面減量裝,181JPY,181JPY,(約9.25CNY)
食品,可爾必思 x MINTIA 清爽硬喉糖 50粒,121JPY,121JPY,(約6.18CNY)
食品,Glico固力果格力高儿童乳酸菌夹心饼干零食【巧克力】15个装,167JPY,167JPY,(約8.53CNY)
食品,MINTIA 葡萄味清爽硬喉糖 50粒,121JPY,121JPY,(約6.18CNY)
食品,日清 咚兵衛 炸天婦羅蕎麥面,234JPY,234JPY,(約11.96CNY)
食品,meiji明治 果汁膠原QQ軟糖 溫州蜜柑,151JPY,151JPY,(約7.72CNY)
食品,龍角散 喉糖 120max 袋裝,348JPY,398JPY,(約17.78CNY)
食品,日清 cup noodle 經典口味 面減量裝,181JPY,181JPY,(約9.25CNY)
食品,一蘭拉麵　附一蘭特製赤紅祕製辣粉【5餐份】,"2,474JPY","2,474JPY",(約126.42CNY)
食品,Glico固力果格力高儿童乳酸菌夹心饼干零食【奶油】15个装,167JPY,167JPY,(約8.53CNY)
食品,日清 cup noodle 經典咖喱口味 面減量裝,186JPY,186JPY,(約9.5CNY)
食品,i-FACTORY 梅片,351JPY,398JPY,(約17.94CNY)
食品,龍角散喉糖 香檬味,555JPY,555JPY,(約28.36CNY)
食品,梅干片,170JPY,170JPY,(約8.69CNY)
食品,沖繩島辣椒蝦餅（小）18片裝,965JPY,965JPY,(約49.31CNY)
食品,卡樂比 薯條 鱈魚子黃油味 52g,191JPY,191JPY,(約9.76CNY)
食品,日东红茶冲饮饮料速溶冲泡饮品冲调冲剂【白桃味奶茶】10个装,471JPY,471JPY,(約24.07CNY)
食品,龍角散 潤喉糖 黑醋栗 & 藍莓 75g,461JPY,461JPY,(約23.56CNY)
食品,MINTIA COLD SMASH涼爽硬喉糖 50粒,121JPY,121JPY,(約6.18CNY)
食品,一蘭拉麵　博多細麵直條麵 附一蘭特製赤紅祕製辣粉【２餐份】,984JPY,984JPY,(約50.28CNY)
食品,果汁軟糖 葡萄,151JPY,151JPY,(約7.72CNY)
食品,Glico固力果格力高儿童乳酸菌夹心饼干零食【黄油】15个装,167JPY,167JPY,(約8.53CNY)
食品,酸酸俠 甘梅一番 無核 17g,239JPY,239JPY,(約12.21CNY)
食品,Kabaya 软糯果汁软糖 葡萄口味,152JPY,152JPY,(約7.77CNY)
食品,日清 咚兵衛 鴨湯頭新蔥蕎麥面,231JPY,231JPY,(約11.8CNY)
食品,日清 cup noodle杯面 番茄玉米味 BIG SIZE,308JPY,308JPY,(約15.74CNY)
食品,glico固力果 乳酸菌餅乾 大袋 [綜合口味],488JPY,488JPY,(約24.94CNY)
食品,龍角散 草本潤 喉糖(原味),555JPY,555JPY,(約28.36CNY)
食品,日清食品 小碗雞汁拉麵 袋面 31g x 3包,362JPY,362JPY,(約18.5CNY)
食品,MARUTAI熊本黑麻油豬骨棒拉麵,269JPY,269JPY,(約13.75CNY)
食品,好喝茶系列 高級茶包 綠茶(添加宇治抹茶) 50個,885JPY,885JPY,(約45.22CNY)
食品,日东红茶冲饮饮料速溶冲泡饮品冲调冲剂【草莓味奶茶】10个装,471JPY,471JPY,(約24.07CNY)
食品,龜田的柿種 6袋,364JPY,364JPY,(約18.6CNY)
食品,Meiji明治DIY自制阿波罗巧克力儿童零食,213JPY,298JPY,(約10.88CNY)
食品,MINTIA WILD& COOL涼爽硬喉糖 50粒,121JPY,121JPY,(約6.18CNY)
食品,KitKat mini 威化巧克力 原味 14個,298JPY,355JPY,(約15.23CNY)
食品,日東紅茶 抹茶歐蕾,635JPY,635JPY,(約32.45CNY)
食品,Kabaya Pureral软糖 苹果,175JPY,175JPY,(約8.94CNY)
食品,卡樂比 miino 香酥脆蠶豆 28g,219JPY,219JPY,(約11.19CNY)
食品,SOURS 可樂軟糖,151JPY,151JPY,(約7.72CNY)
食品,Calbee卡乐比 沙拉味土豆棒bits 大袋 108g,216JPY,238JPY,(約11.04CNY)
食品,Calbee卡樂比 薯條三兄弟 10袋,"1,059JPY","1,059JPY",(約54.11CNY)
食品,Tirol松尾 什錦夾心巧克力 27枚入,380JPY,471JPY,(約19.42CNY)
食品,UHA 味觉糖 cororo软糖 葡萄味 48g,176JPY,176JPY,(約8.99CNY)
食品,MINTIA 硬喉糖 清爽兒茶素薄荷味 50粒,121JPY,121JPY,(約6.18CNY)
食品,一蘭豚骨拉麵 128g,538JPY,598JPY,(約27.49CNY)
食品,伊藤園 美味茶系列 宇治抹茶入玄米茶 200g,780JPY,780JPY,(約39.86CNY)
食品,Calbee　水果穀物麥片　750g,882JPY,882JPY,(約45.07CNY)
食品,UHA 味觉糖　cororo软糖 水晶葡萄味 48g,176JPY,176JPY,(約8.99CNY)
食品,伊藤園 美味茶清爽綠茶80g入,920JPY,920JPY,(約47.01CNY)
食品,日清食品 小碗咚兵衛 袋面 柚子風味 30g x 3包,357JPY,357JPY,(約18.24CNY)
食品,ORIHIRO 蒟蒻果凍 水晶葡萄 + 柳橙,316JPY,316JPY,(約16.15CNY)
食品,NOBEL諾貝爾 VC-3000喉糖,237JPY,237JPY,(約12.11CNY)
食品,一蘭特製辣粉（罐裝）,849JPY,849JPY,(約43.38CNY)
食品,Glico固力果格力高儿童乳酸菌夹心饼干零食【黄油】15个装,168JPY,168JPY,(約8.58CNY)
食品,湖池屋 香辣薯片 55g,161JPY,161JPY,(約8.23CNY)
食品,LION菓子 直接食用 檸檬,263JPY,263JPY,(約13.44CNY)
食品,SOURS 汽水軟糖,151JPY,151JPY,(約7.72CNY)
食品,Kracie Popin' Cookin' 甜甜圈,354JPY,354JPY,(約18.09CNY)
食品,Orion Beer Nuts 16g×5袋裝,459JPY,459JPY,(約23.45CNY)
食品,SOURS 葡萄軟糖,151JPY,151JPY,(約7.72CNY)
食品,日東紅茶 C & 檸檬茶,473JPY,473JPY,(約24.17CNY)
食品,日清 炸雞最高金賞店監修 炸雞粉 醬油口味 100g,183JPY,183JPY,(約9.35CNY)
食品,calbee 卡樂比 松鼠棒 芥末醬油味 38g,184JPY,184JPY,(約9.4CNY)
食品,UHA 味覺糖 cororo 蘇打味 40g,109JPY,126JPY,(約5.57CNY)
食品,ORIHIRO Purunto蒟蒻果凍 水蜜桃+粉色葡萄柚 12個裝,326JPY,326JPY,(約16.66CNY)
食品,明治 DIY自製香菇山巧克力,349JPY,349JPY,(約17.83CNY)
食品,不二家 麵包超人軟糖 10個裝 50g,140JPY,140JPY,(約7.15CNY)
食品,MARUTAI长崎酱油棒拉面,223JPY,223JPY,(約11.4CNY)
食品,日清 炸雞最高金賞店監修 炸雞粉 鹽口味 100g,160JPY,160JPY,(約8.18CNY)
食品,湖池屋 香辣薯條 105g,261JPY,261JPY,(約13.34CNY)
食品,千成堂 開心果零嘴,"1,199JPY","1,199JPY",(約61.27CNY)
食品,伊藤園 好喝茶系列 綠茶(添加抹茶) 100g,431JPY,598JPY,(約22.02CNY)
食品,Meiji明治 果汁軟糖 草莓,151JPY,151JPY,(約7.72CNY)
食品,伊藤園 極上抹茶綠茶沖泡包,427JPY,427JPY,(約21.82CNY)
食品,Glico 固力果 格力高 三角薄脆餅乾 卡門貝爾芝士味 40g,268JPY,268JPY,(約13.69CNY)
食品,UCC 117精緻即溶咖啡,494JPY,494JPY,(約25.24CNY)
食品,Glico 固力果 格力高 三角薄脆餅乾 切達芝士味 40g,268JPY,268JPY,(約13.69CNY)
食品,日東紅茶 皇家奶茶,824JPY,824JPY,(約42.11CNY)
食品,不二家 POP棒棒糖,195JPY,195JPY,(約9.96CNY)
食品,Kracie 嘉娜寶 捏捏糖 汽水味口味 23.5g,167JPY,167JPY,(約8.53CNY)
食品,Kracie Popin' Cookin' 日本食玩手工DIY迷你鲷鱼烧丸子零食,422JPY,422JPY,(約21.56CNY)
食品,Nobel诺贝尔 超浓厚牛奶糖 北海道蜜瓜味 1袋装 80g,280JPY,280JPY,(約14.31CNY)
食品,日清 麵包超人泡面 3份裝,361JPY,361JPY,(約18.45CNY)
食品,提拉米苏杏仁巧克力 抹茶味 385g,"1,580JPY","1,780JPY",(約80.74CNY)
食品,Tirol松尾 迷你Bis餅乾巧克力 102g,260JPY,431JPY,(約13.29CNY)
食品,伊藤園 香味四溢 綠茶茶包,672JPY,672JPY,(約34.34CNY)
食品,UHA味覺糖 cororo軟糖 可樂味 40g,120JPY,150JPY,(約6.13CNY)
食品,Glico 固力果 格力高 三角薄脆餅乾 煙熏芝士味 40g,268JPY,268JPY,(約13.69CNY)
食品,Kracie Popin' Cookin' 漢堡,354JPY,354JPY,(約18.09CNY)
食品,海鹽番茄幹 使用Nuchima-su鹽 110g,584JPY,584JPY,(約29.84CNY)
食品,永穀園 大人拌飯素 紅鮭魚海苔味 11.5g,119JPY,128JPY,(約6.08CNY)
