category,goods_name,jpPrice,jporgPrice,referencePrice
健康,DHC健康食品 維他命C 60日份,685JPY,685JPY,(約35CNY)
健康,DHC健康食品 維他命B群 60日份,571JPY,571JPY,(約29.18CNY)
健康,日本新谷酵素 夜遲王樣黃金加強版 NightDiet Gold＋ 180粒 30回分,"3,414JPY","3,414JPY",(約174.46CNY)
健康,大木 复合维生素 软糖 草莓味 120粒,"1,726JPY","1,800JPY",(約88.2CNY)
健康,DHC健康食品 膠原蛋白 60日份,"1,352JPY","1,352JPY",(約69.09CNY)
健康,DHC 血紅素鐵 60天份,"1,020JPY","1,020JPY",(約52.12CNY)
健康,UHA味覺糖 營養補充軟糖 葉黃素 綜合莓果口味 30天份,"1,131JPY","1,131JPY",(約57.79CNY)
健康,DHC 維他命C粉 30袋,456JPY,456JPY,(約23.3CNY)
健康,DHC 薏仁精華 60天份(60粒),"1,455JPY","1,455JPY",(約74.35CNY)
健康,大麥若葉青汁100% 經濟包,"1,174JPY","1,174JPY",(約59.99CNY)
健康,日本新谷酵素 夜遲 睡眠瘦身版 NightDiet 28日分(196粒),"2,841JPY","2,841JPY",(約145.18CNY)
健康,膠原蛋白粉 補充包 196g,"2,749JPY","2,749JPY",(約140.47CNY)
健康,DHC 速攻藍莓精華 20天份,"1,134JPY","1,134JPY",(約57.95CNY)
健康,DHC 膠原蛋白 20天份,685JPY,685JPY,(約35CNY)
健康,DHC 活力鋅元素 60天份,571JPY,571JPY,(約29.18CNY)
健康,DHC 毛喉鞘蕊花萃取 纖體丸 軟膠囊 20天份,"1,352JPY","1,352JPY",(約69.09CNY)
健康,Meiji明治premium氨基酸胶原蛋白粉奢华版补充包196g,"4,559JPY","4,559JPY",(約232.96CNY)
健康,UHA味覺糖 營養補充軟糖 鐵質 & 葉酸 巴西梅綜合口味 10天份,323JPY,323JPY,(約16.51CNY)
健康,野口醫學研究所 健康輔助食品 酵素 + 乳酸菌 120粒,"2,268JPY","2,268JPY",(約115.89CNY)
健康,森下仁丹 HealthAid BifinaR 比菲德氏菌晶球粉(標準) 20包,"1,718JPY","1,718JPY",(約87.79CNY)
健康,DHC 維他命E 60天份,800JPY,800JPY,(約40.88CNY)
健康,Svelty 丝蓓缇 黑生姜瘦身燃脂丸 70粒,"1,925JPY","1,925JPY",(約98.37CNY)
健康,Svelty 糖質分解酵母膠囊 120粒,"2,268JPY","2,480JPY",(約115.89CNY)
健康,满腹30倍 膳食纤维糖 奇异果口味,352JPY,352JPY,(約17.99CNY)
健康,DHC 鈣/鎂 60天份,862JPY,862JPY,(約44.05CNY)
健康,大塚制薬 賢者的餐桌 食物纖維 (保健食品),"1,933JPY","1,933JPY",(約98.78CNY)
健康,新穀酵素 NightDiet 棕色加強版 150粒 30回分,"2,841JPY","2,841JPY",(約145.18CNY)
健康,UHA味覺糖 營養補充軟糖 護眼效果 黑加侖 & 藍莓口味 20天份,"1,123JPY","1,123JPY",(約57.39CNY)
健康,DHC 葉酸 60天份,571JPY,571JPY,(約29.18CNY)
健康,DHC Diet Power 複合型減肥纖體膠囊 20天份 (60粒),"1,455JPY","1,455JPY",(約74.35CNY)
健康,DHC 綜合礦物質 60天份,916JPY,916JPY,(約46.81CNY)
健康,UHA 味覺糖 高濃度維生素D 30日量SP（60粒）,"1,132JPY","1,132JPY",(約57.85CNY)
健康,Eisai衛采 Chocola BB美白錠 120錠,"2,039JPY","2,039JPY",(約104.19CNY)
健康,DHC 輔酶Q10 效果持續 60天份,"1,707JPY","1,707JPY",(約87.23CNY)
健康,明治藥品 野口醫學研究所 納豆激酶 premium 120粒,"5,705JPY","5,705JPY",(約291.53CNY)
健康,成人肝油滴劑120粒,"1,604JPY","1,604JPY",(約81.96CNY)
健康,DHC 國產蔬菜健康丸 60天份,"1,707JPY","1,707JPY",(約87.23CNY)
健康,DHC 檸檬酸 30袋,607JPY,607JPY,(約31.02CNY)
健康,山本漢方 脂流茶 10g x 24包,"1,148JPY","1,148JPY",(約58.66CNY)
健康,DHC GABA 20天份 20粒,914JPY,914JPY,(約46.71CNY)
健康,DHC 玻尿酸 60天份,"2,956JPY","2,956JPY",(約151.05CNY)
健康,小林制藥 營養輔助食品 納豆激酶・DHA・EPA,"1,581JPY","1,581JPY",(約80.79CNY)
健康,满腹30倍 膳食纤维糖 草莓牛奶口味,524JPY,524JPY,(約26.78CNY)
健康,DHC蝶翠詩 持續型VB混合維生素B族 60天量 120粒,590JPY,590JPY,(約30.15CNY)
健康,DHC 薏仁精華 20天份,456JPY,456JPY,(約23.3CNY)
健康,DHC DHA 20天份,914JPY,914JPY,(約46.71CNY)
健康,UHA 味覺糖 維他命C 30日量SP（60粒）,"1,132JPY","1,132JPY",(約57.85CNY)
健康,DHC 瑪卡 20天份,"1,455JPY","1,455JPY",(約74.35CNY)
健康,kawai日本肝油丸儿童肝油钙丸維他命A+D 300粒,"2,383JPY","2,383JPY",(約121.77CNY)
健康,DHC 乳酸菌EC-12 20天份,"1,020JPY","1,020JPY",(約52.12CNY)
健康,UHA味覺糖 營養補充軟糖 葉黃素 綜合莓果口味 20天份,785JPY,785JPY,(約40.11CNY)
健康,UHA 味覺糖 維生素B族 30日量SP（60粒）,"1,132JPY","1,132JPY",(約57.85CNY)
健康,SVELTY SMART 瘦身菌 (120粒),"3,414JPY","3,414JPY",(約174.46CNY)
健康,DHC 玫瑰香體丸 20天份,"1,455JPY","1,455JPY",(約74.35CNY)
健康,DHC 輔酶Q10 速效 20天份,"1,925JPY","1,925JPY",(約98.37CNY)
健康,野口醫學研究所 健康輔助食品 濃縮秋薑黃,"2,165JPY","2,165JPY",(約110.63CNY)
健康,野口醫學研究所 營養輔助食品 鯊肝油,"2,234JPY","2,234JPY",(約114.16CNY)
健康,新穀酵素 NightDiet 藍盒基礎款 90粒　30回分,"2,268JPY","2,268JPY",(約115.89CNY)
健康,野口醫學研究所 納豆激酶,"3,414JPY","3,414JPY",(約174.46CNY)
健康,UHA 味覺糖 鋅&瑪卡 30日量SP（60粒）,"1,132JPY","1,132JPY",(約57.85CNY)
健康,野口醫學研究所 健康輔助食品 藍莓 & 葉黃素,"3,414JPY","3,414JPY",(約174.46CNY)
健康,野口醫學研究所 健康輔助食品 男性用 瑪卡 150粒,"3,196JPY","3,196JPY",(約163.32CNY)
健康,滿腹30倍 膳食纖維糖 巴西莓口味,524JPY,524JPY,(約26.78CNY)
健康,UHA 味覺糖 葉黃素 30日量SP（60粒）,"1,450JPY","1,450JPY",(約74.09CNY)
健康,DHC 濃縮薑黃 20天份,605JPY,605JPY,(約30.92CNY)
健康,UHA 味覺糖 鐵 30日量SP（60粒）,"1,132JPY","1,132JPY",(約57.85CNY)
健康,DHC蝶翠詩 持續型VC維生素C片 60天量 240粒,650JPY,650JPY,(約33.21CNY)
健康,野口醫學研究所 健康輔助食品 軟骨素 & 葡萄糖胺 300粒,"2,278JPY","2,278JPY",(約116.41CNY)
健康,Svelty 丝蓓缇 黑生姜瘦身燃脂丸 150粒,"3,414JPY","3,414JPY",(約174.46CNY)
健康,DHC 肝臟精華 + 鳥氨酸 20天份,"1,002JPY","1,002JPY",(約51.2CNY)
健康,Earth制藥安速 膠原蛋白C果凍條 巴西莓・莓果口味,"2,286JPY","2,286JPY",(約116.81CNY)
健康,DHC營養補助食品系列 黃香草木樨 20日份,685JPY,685JPY,(約35CNY)
