category,goods_name,jpPrice,jporgPrice,referencePrice
化妝品,資生堂 藥用護手霜(紅罐) 100g,398JPY,598JPY,(約20.34CNY)
化妝品,曼秀雷敦藥用護唇膏XD 4g,50JPY,120JPY,(約2.56CNY)
化妝品,BANDAI 凡爾賽玫瑰 深層潤澤黃金面膜 (1片),498JPY,498JPY,(約25.45CNY)
化妝品,日本DHC護唇膏 天然橄欖潤唇膏 無色滋潤補水保濕 防乾裂 1.5g,880JPY,880JPY,(約44.97CNY)
化妝品,花王 Curel 潤浸保濕,"2,950JPY","2,950JPY",(約150.75CNY)
化妝品,肌美精 超浸透3D面膜 緊緻保濕 4片,798JPY,798JPY,(約40.78CNY)
化妝品,毛穴撫子 日本米精華保濕面膜,720JPY,720JPY,(約36.79CNY)
化妝品,DHC蝶翠詩橄欖無色護唇膏滋潤保濕潤唇防乾裂潤唇膏 姆明限定款1.5g,398JPY,698JPY,(約20.34CNY)
化妝品,Fueki馬油保濕柔膚霜,780JPY,780JPY,(約39.86CNY)
化妝品,凡爾賽玫瑰 安東妮德 白金保濕面膜,498JPY,498JPY,(約25.45CNY)
化妝品,Fino 高效滲透護髮膜 230g,"1,280JPY","1,280JPY",(約65.41CNY)
化妝品,Unicharm 絲花化妝棉 40片/盒,225JPY,298JPY,(約11.5CNY)
化妝品,KOSE Precious Garden 護手霜 甜心蜜桃70g,398JPY,398JPY,(約20.34CNY)
化妝品,肌美精 超浸透3D面膜 彈力保濕 4片,798JPY,798JPY,(約40.78CNY)
化妝品,Curel 潤浸保濕洗顏慕絲,"1,350JPY","1,380JPY",(約68.98CNY)
化妝品,Curél 乳液 120ml,"2,180JPY","2,180JPY",(約111.4CNY)
化妝品,肌美精 超浸透3D面膜 緊緻彈力 美白 4片,798JPY,798JPY,(約40.78CNY)
化妝品,凡爾賽玫瑰 歐絲嘉 真珠透白面膜,498JPY,498JPY,(約25.45CNY)
化妝品,花王Biore UV AQUA Rich 防水耐久型防曬乳 (臉・身體用) SPF50+ PA++++,960JPY,960JPY,(約49.06CNY)
化妝品,KOSE Precious Garden 護手霜 浪漫玫瑰,398JPY,398JPY,(約20.34CNY)
化妝品,UNO 新 炭洗顏 (130g),438JPY,438JPY,(約22.38CNY)
化妝品,naturie 薏仁清潤調理化妝水 500ml,748JPY,980JPY,(約38.22CNY)
化妝品,M mark 柚子 身體乳液,"1,480JPY","1,780JPY",(約75.63CNY)
化妝品,Bifesta 溫和淨潤眼唇卸妝水 145ml,798JPY,798JPY,(約40.78CNY)
化妝品,Kanebo Freeplus 溫和洗面乳a,"2,980JPY","2,980JPY",(約152.28CNY)
化妝品,Utena Premium Puresa 黃金果凍面膜 玻尿酸 3片裝,498JPY,880JPY,(約25.45CNY)
化妝品,UNO 新 潤洗顏 (130g),438JPY,438JPY,(約22.38CNY)
化妝品,資生堂 洗顏專科 超微米 洗面乳,698JPY,698JPY,(約35.67CNY)
化妝品,藥用美白緊緻眼霜 30g,980JPY,"1,180JPY",(約50.08CNY)
