category,goods_name,jpPrice,jporgPrice,referencePrice
日用品,Lion 獅王 美白牙膏,228JPY,228JPY,(約11.65CNY)
日用品,EBISU Premium care 惠百施牙刷 7列刷毛 82 普通硬度 （ 颜色随机出）,198JPY,299JPY,(約10.12CNY)
日用品,EBISU 優質護理牙刷 6排刷毛 普通硬度 (隨機出色),198JPY,278JPY,(約10.12CNY)
日用品,小林製藥 生理期專用衣物清潔劑,340JPY,498JPY,(約17.37CNY)
日用品,EBiSU Premium care 優質護理牙刷 寬頭 軟毛 1支,198JPY,278JPY,(約10.12CNY)
日用品,EBiSU 六列優質倍護牙刷 軟毛,298JPY,298JPY,(約15.23CNY)
日用品,EBISU Premiumcare惠百施優質護理牙刷 6排刷毛 61 軟毛 (隨機出色),198JPY,298JPY,(約10.12CNY)
日用品,VAPE 未來 驅蚊器 150天 珍珠白,"1,451JPY","1,451JPY",(約74.15CNY)
日用品,防蟎蟲袋 棉被・枕頭用 青草香,732JPY,732JPY,(約37.41CNY)
日用品,LION獅王 固力寧佳酵素牙膏 直立型,398JPY,398JPY,(約20.34CNY)
日用品,LION獅王 DENTOR CLEAR MAX粒子 美白牙膏 綠薄荷,199JPY,298JPY,(約10.17CNY)
日用品,小林製藥 馬桶消臭 花瓣香氛凝膠 放鬆香氛,438JPY,438JPY,(約22.38CNY)
日用品,Cow 牛牌 牛乳石碱 Bouncia 浓密泡沫沐浴露 替换装 400ml,298JPY,428JPY,(約15.23CNY)
日用品,LION獅王 DENTOR CLEAR MAX粒子 美白牙膏 超涼薄荷,199JPY,298JPY,(約10.17CNY)
日用品,VAPE 未來 驅蚊器 150天 替換芯 1個,"1,322JPY","1,322JPY",(約67.55CNY)
日用品,EBISU 高級護理牙刷 8排刷毛 軟式 (隨機出色),398JPY,398JPY,(約20.34CNY)
日用品,Sunstar DoClear 兒童牙膏 草莓 70g,278JPY,278JPY,(約14.21CNY)
日用品,Bigen美源可瑞慕染发剂日本进口黑发遮白纯植物染发膏7G【自然棕黑色】40g＋40g,890JPY,890JPY,(約45.48CNY)
日用品,金鳥 驅蚊蟲環 藍色款 30個裝,713JPY,764JPY,(約36.43CNY)
日用品,LION獅王 固力寧佳酵素牙膏 超涼,330JPY,398JPY,(約16.86CNY)
日用品,牛乳石鹼 Bouncia 牛奶保濕沐浴乳,798JPY,798JPY,(約40.78CNY)
