category,goods_name,jpPrice,jporgPrice,referencePrice
美容護膚,資生堂 藥用護手霜(紅罐) 100g,398JPY,598JPY,(約20.38CNY)
美容護膚,曼秀雷敦藥用護唇膏XD 4g,120JPY,120JPY,(約6.14CNY)
美容護膚,BANDAI 凡爾賽玫瑰 深層潤澤黃金面膜 (1片),498JPY,498JPY,(約25.5CNY)
美容護膚,花王 Curel 潤浸保濕,"2,950JPY","2,950JPY",(約151.04CNY)
美容護膚,日本DHC護唇膏 天然橄欖潤唇膏 無色滋潤補水保濕 防乾裂 1.5g,398JPY,880JPY,(約20.38CNY)
美容護膚,肌美精 超浸透3D面膜 緊緻保濕 4片,798JPY,798JPY,(約40.86CNY)
美容護膚,DHC蝶翠詩橄欖無色護唇膏滋潤保濕潤唇防乾裂潤唇膏 姆明限定款1.5g,398JPY,698JPY,(約20.38CNY)
美容護膚,Fueki馬油保濕柔膚霜,780JPY,780JPY,(約39.94CNY)
美容護膚,毛穴撫子 日本米精華保濕面膜,720JPY,720JPY,(約36.86CNY)
美容護膚,凡爾賽玫瑰 安東妮德 白金保濕面膜,498JPY,498JPY,(約25.5CNY)
美容護膚,Fino 高效滲透護髮膜 230g,698JPY,"1,280JPY",(約35.74CNY)
美容護膚,Unicharm 絲花化妝棉 40片/盒,225JPY,298JPY,(約11.52CNY)
美容護膚,肌美精 超浸透3D面膜 彈力保濕 4片,798JPY,798JPY,(約40.86CNY)
美容護膚,KOSE Precious Garden 護手霜 甜心蜜桃70g,398JPY,398JPY,(約20.38CNY)
美容護膚,Curel 潤浸保濕洗顏慕絲,"1,350JPY","1,380JPY",(約69.12CNY)
美容護膚,Curél 乳液 120ml,"2,180JPY","2,180JPY",(約111.62CNY)
美容護膚,肌美精 超浸透3D面膜 緊緻彈力 美白 4片,798JPY,798JPY,(約40.86CNY)
美容護膚,凡爾賽玫瑰 歐絲嘉 真珠透白面膜,498JPY,498JPY,(約25.5CNY)
美容護膚,花王Biore UV AQUA Rich 防水耐久型防曬乳 (臉・身體用) SPF50+ PA++++,960JPY,960JPY,(約49.15CNY)
美容護膚,KOSE Precious Garden 護手霜 浪漫玫瑰,398JPY,398JPY,(約20.38CNY)
美容護膚,UNO 新 炭洗顏 (130g),438JPY,438JPY,(約22.43CNY)
美容護膚,Utena Premium Puresa 黃金果凍面膜 玻尿酸 3片裝,450JPY,880JPY,(約23.04CNY)
美容護膚,M mark 柚子 身體乳液,"1,480JPY","1,780JPY",(約75.78CNY)
美容護膚,naturie 薏仁清潤調理化妝水 500ml,748JPY,980JPY,(約38.3CNY)
美容護膚,Bifesta 溫和淨潤眼唇卸妝水 145ml,798JPY,798JPY,(約40.86CNY)
美容護膚,UNO 新 潤洗顏 (130g),438JPY,438JPY,(約22.43CNY)
美容護膚,資生堂 洗顏專科 超微米 洗面乳,698JPY,698JPY,(約35.74CNY)
美容護膚,藥用美白緊緻眼霜 30g,698JPY,"1,180JPY",(約35.74CNY)
美容護膚,Deonatulle 止汗消臭石W (腋下用),"1,180JPY","1,180JPY",(約60.42CNY)
美容護膚,肌美精 滋潤浸透面膜 超保濕 5片,775JPY,775JPY,(約39.68CNY)
美容護膚,KOSE Precious Garden 護手霜 精靈莓果,398JPY,398JPY,(約20.38CNY)
美容護膚,Softymo 清爽無油瞬淨卸妝油 230ml,560JPY,598JPY,(約28.67CNY)
美容護膚,HAS 蛇毒眼膜 isheet,"6,500JPY","6,500JPY",(約332.8CNY)
美容護膚,毛穴撫子 日本米精華水洗面膜,"1,180JPY","1,380JPY",(約60.42CNY)
美容護膚,Pigeon 貝親 藥用保濕乳液 (桃子) 200ml,880JPY,"1,200JPY",(約45.06CNY)
美容護膚,Saborino 早安面膜,"1,450JPY","1,450JPY",(約74.24CNY)
美容護膚,Barrier Repair 保濕面膜 5片,698JPY,880JPY,(約35.74CNY)
美容護膚,MINON Amino Moist 保濕面膜 22ml x 4片,"1,320JPY","1,320JPY",(約67.58CNY)
美容護膚,Rosette海泥毛孔潔淨洗面乳 120g,438JPY,598JPY,(約22.43CNY)
美容護膚,Utena Premium Puresa 黃金果凍面膜 蜂王漿 3片裝,450JPY,880JPY,(約23.04CNY)
美容護膚,SK-II/SK2水油平衡补水保湿细腻毛孔亮白精华露肌底液神仙水230ml,"13,800JPY","22,000JPY",(約706.56CNY)
美容護膚,Utena Premium Puresa 黃金果凍面膜 膠原蛋白 3片裝,450JPY,880JPY,(約23.04CNY)
美容護膚,花王 Curél 潤浸保濕化妝水 II (輕潤型),"2,180JPY","2,180JPY",(約111.62CNY)
美容護膚,Mentholatum 曼秀雷敦 SUNPLAY 防曬乳 超強阻斷α SPF50+/PA++++,548JPY,548JPY,(約28.06CNY)
美容護膚,KOSE Precious Garden 護手霜 療癒花香,398JPY,398JPY,(約20.38CNY)
